Page,total_views,total_sessions,total_users,total_conversions,avg_drop_off,conversion_rate
Special:CreateAccount_en.wikipedia.org_all-access_all-agents,82482036,803,555,458,-inf,0.5703611457036114
Wikipedia:Portada_es.wikipedia.org_all-access_spider,40018162,803,560,803,-0.09127621277595063,1.0
Google_en.wikipedia.org_all-access_all-agents,39463964,803,554,802,-0.03516060899782224,0.9987546699875467
World_War_II_en.wikipedia.org_all-access_all-agents,23785290,803,530,802,-0.011763122447780132,0.9987546699875467
Wikipedia:Contact_us_en.wikipedia.org_all-access_all-agents,19763329,803,557,803,-0.3846565873331711,1.0
Especial:BúsquedaDeEnlaces_es.wikipedia.org_all-access_all-agents,15491371,803,556,800,-8.493696394610188,0.9962640099626401
Lady_Gaga_en.wikipedia.org_all-access_all-agents,15390789,803,556,803,-0.07673862703137979,1.0
List_of_The_Flash_episodes_en.wikipedia.org_all-access_all-agents,12298975,803,554,802,-0.04712091831152203,0.9987546699875467
United_Kingdom_en.wikipedia.org_desktop_all-agents,11990273,803,566,803,-0.039620311486420326,1.0
Gmail_en.wikipedia.org_all-access_all-agents,11582525,803,561,803,-0.014937326265645525,1.0
France_fr.wikipedia.org_desktop_all-agents,11304777,803,549,803,-0.032666909572655924,1.0
List_of_The_Flash_(2014_TV_series)_episodes_en.wikipedia.org_all-access_all-agents,10856022,803,563,763,-0.04931819234952052,0.950186799501868
Tom_Cruise_en.wikipedia.org_mobile-web_all-agents,10783559,803,561,803,-0.029909310998264996,1.0
The_Big_Short_(film)_en.wikipedia.org_all-access_all-agents,9925242,803,567,803,-0.03267734323048539,1.0
Jason_Momoa_en.wikipedia.org_all-access_all-agents,9812689,803,558,803,-0.024763520868745878,1.0
The_Fast_and_the_Furious_en.wikipedia.org_all-access_all-agents,9186067,803,563,802,-0.031083719549518732,0.9987546699875467
RSS_en.wikipedia.org_desktop_all-agents,8525480,803,570,803,-0.026729704404569093,1.0
Agents_of_S.H.I.E.L.D._en.wikipedia.org_all-access_all-agents,8492288,803,559,803,-0.030531544058222088,1.0
